SPOT	Gene Symbol	0h	0.5h	3h	6h	12h
1	ZFX	-0.092	0.126	0.109	0.043	0.074
2	ZNF133	0.22	0.429	-0.052	0.314	0.623
3	USP2	-0.81	0.055	0.046	-0.33	0.239
4	DSCR1L1	-1.776	-0.272	-0.263	0.129	0.121
5	WNT5A	-1.015	-0.029	0.022	0.456	0.585
6	VHL	-0.391	-0.137	-0.081	0.037	0.521
7	TCF3	-0.447	0.313	-0.265	0.909	1.467
8	TCN2	-1.283	-0.55	-0.105	0.922	-0.562
9	TIMP1	-0.04	-0.082	-0.1	-0.037	-0.258
10	SERPINA7	-1.395	-0.703	0.243	-0.179	0.14
11	THBD	-1.728	-1.429	-0.258	-0.671	-0.743
12	EPHA2	0.131	0.494	0.337	0.17	0.546
13	RBM5	-0.066	0.379	0.374	0.357	0.541
14	SFRS10	0.246	0.189	0.23	0.21	-0.445
15	SLC16A4	-0.377		0.038	0.657	1.131
16	C20orf16	-0.347	0.253	0.334	0.66	0.591
17	RBM3	-0.209	0.071	0.146	-0.136	-0.492
18	C3AR1	-1.095	0.272	0.271	-0.343	-0.567
19	MLF2	-0.199	0.175	-0.19	0.158	-0.052
20	ABCC5	-0.163	0.421	0.09	0.399	0.372
21	DAB2	-0.554	0.456	-0.404	-1.124	-0.739
22	POLRMT	-0.377	-0.105	-0.949	-0.36	-0.243
23	DECR1	-0.361	-0.012	-0.165	-0.089	-0.007
24		-0.195	0.252	0.086	0.123	0.105
25	MAC30	-0.264	-0.441	-0.718	-0.866	-0.779
26	PPFIA1	-0.188	1.178	0.492	0.738	0.854
27	IGF2	-0.899	-0.247	-0.274	-0.366	-0.312
28	BIRC3	-0.871	0.26	3.517	3.237	2.599
29	ELAVL1	0.252	0.671	0.374	0.399	0.466
30		0.392	0.665	0.355	0.525	0.379
31	ZNF148	0.175	0.582	0.308	0.39	0.23
32	TP53BP2	-0.073	0.334	0.565	0.587	0.448
33		-1.337	-0.387	0.099	0.15	0.646
34	OSBPL3	-0.143	0.215	0.315	0.22	0.404
35	MAP4K2	-0.56		-0.167	0.608	0.794
36	ABCB10	-0.063	0.914	0.676	0.537	0.462
37	EHHADH	-0.507	-0.426	-0.465	-0.493	-0.12
38	EDNRB	-0.601	-0.429	0.065	0.051	-0.105
39	EDG1	-1.187	-0.748	-0.016	-0.203	-0.346
40	MAPK4	-1.739	-0.998	-0.372	-0.675	-0.623
41	SLC1A3	-0.098	-0.455	-0.847	-1.515	-1.863
42	ELF1	-0.309	-0.213	-0.29	-0.613	-0.628
43	CTH	-1.635	-0.279	-0.218	0.494	0.46
44	CCND2	-0.721	0.444	-0.183	-0.507	0.008
45	CNGB1	-0.812	0.232	-0.342	-0.276	-0.099
46	CRYM	-1.636	-0.061	-0.222	-0.494	-0.571
47	CNTN1	-1.208	0.131	0.01	-0.628	-0.244
48	C8A	-0.93	0.051	0.048	0.491	0.443
49	CXCR4	-2.082	-0.386	-0.466	-0.731	-0.662
50	SFRS4	0.005	-0.008	-0.25	-0.061	-0.33
51	SFRS1	0.159	-0.103	0.012	-0.435	-0.437
52	PBX2	0.008	0.345	-0.321	0.362	0.453
53	PLEK	-1.567	-0.359	-0.612	-0.603	-1.168
54	SLC15A2	-1.222	-0.059	-0.301	-0.346	-0.416
55	HLA-DPB1	-1.027	0.203	-0.275	0.018	0.101
56	MST1	-1.293	0.271	-0.576	-0.31	-0.186
57	MEF2A	-0.742	0.41	0.68	0.486	0.472
58	EPRS	0.089	-0.08	-0.103	0.013	0.133
59	HLA-DQB1	-0.697	-0.489	-0.273	-0.184	0.026
60	MHC2TA	-1.784		-0.499	-0.569	-0.428
61	PTK2	0.022	-0.076	0.051	0.333	0.296
62	STE	-0.651	-0.673	0.235	0.15	-0.107
63	EZH2	0.074	0.565	0.221	0.029	-0.33
64	METAP2	0.206	0.316	0.123	-0.051	-0.38
65	DGKZ	-0.44	0.858	-0.298	0.519	0.383
66	CASP9	-0.278	-0.033	-0.362	-0.039	-0.204
67	MGAT2	0.098	0.153	0.057	0.219	0.16
68	TXNRD2	-0.767	0.427	-0.479	0.044	0.072
69	PSMD4	0.125	0.165	0.142	-0.027	-0.081
70	PCBP1	0.164	-0.129	-0.251	-0.55	-0.134
71	SGCA	-0.385	-0.064	-0.399	-0.035	-0.096
72	SLC16A2	-0.865	-0.031	-0.33	-0.2	-0.442
73	PFN1	0.173	-0.173	-0.568	-0.529	-0.42
74	DDB1	-0.032	-0.038	0.011	-0.205	-0.324
75	MAP2K3	0.096	0.382	0.173	0.196	-0.118
76	DNAJB1	0.091	0.196	0.652	0.157	-0.012
77	XRCC1	-0.259	0.014	-0.509	-0.326	-0.639
78	TOP1	0.185	-0.031	0.051	0.153	-0.215
79	CSTF2	-0.153	-0.21	-0.709	-0.439	-0.478
80	CHC1	-0.276	-0.045	-0.29	-0.501	-0.793
81	CPS1	-0.413	0.217	-0.33	-0.261	-0.191
82	CRABP2	0.143	-0.17	-0.285	-0.462	0.25
83	CDC25A	0.029	0.285	-0.248	-0.033	-0.303
84	CAV1	-0.629	0.616	-0.324	-0.549	-0.501
85	GTF2IRD1	-0.778	0	0.147	-0.056	0.178
86	PX19	-0.106	-3.544	-0.606	-0.216	-0.614
87	C20orf4	-0.863		-0.205	-0.386	-0.308
88	FLJ14431	-0.302		-0.264	0.051	0.076
89	SLC25A16	-0.694	-0.221	-0.309	-0.463	-0.258
90	PRO2852	-0.25	0.076	0.184	0.284	0.254
91		-0.296	0.07	0.03	-0.246	0.09
92	FLJ10404	-0.726	0.046	-0.424	-0.193	-0.043
93	LCP2	-1.243	-0.159	-0.109	-0.403	-0.306
94	MLF1	-1.916	-0.491	-0.152	-0.553	-0.809
